"","firstName","gender","numberChildren.x","numberChildren.y"
"110","Aarini","F",9,8
"111","Aarion","M",8,15
"112","Aariona","F",7,9
"113","Aaris","F",7,6
"114","Aarish","M",21,33
"115","Aarit","M",7,22
"116","Aariv","M",61,50
"117","Aariya","F",16,14
"118","Aariyah","F",69,57
"119","Aariyana","F",7,11
"120","Aariz","M",62,63
"121","Aarjav","M",7,6
"122","Aarna","F",148,147
"123","Aarnav","M",26,45
"124","Aarnavi","F",8,5
"125","Aaro","M",8,10
"126","Aarohi","F",84,88
"127","Aaron","F",22,19
"128","Aaron","M",7118,7144
"129","Aarron","M",8,7
"130","Aaruhi","F",7,5
"131","Aarush","M",191,211
"132","Aarushi","F",29,35
"133","Aarvi","F",25,30
"134","Aarya","F",189,180
"135","Aarya","M",18,20
"136","Aaryah","F",7,10
"137","Aaryahi","F",7,5
"138","Aaryan","M",142,125
"139","Aaryana","F",8,11
"140","Aaryav","M",18,21
"141","Aaryn","F",57,46
"142","Aaryn","M",13,29
"143","Aasha","F",9,15
"144","Aashi","F",50,50
"145","Aashika","F",11,7
"146","Aashir","M",12,7
"147","Aashka","F",9,7
"148","Aashna","F",34,31
"149","Aashrith","M",12,8
"150","Aashritha","F",10,5
"151","Aashvi","F",63,72
"152","Aasia","F",5,11
"153","Aasim","M",21,15
"154","Aasir","M",17,16
"155","Aasiya","F",5,20
"156","Aasiyah","F",38,20
"157","Aason","M",8,7
"158","Aastha","F",7,7
"159","Aava","F",10,11
"160","Aavah","F",8,7
"161","Aavash","M",5,5
"162","Aavin","M",6,6
"163","Aavya","F",80,24
"164","Aayaan","M",6,7
"165","Aayam","M",9,6
"166","Aayan","M",170,144
"167","Aayana","F",9,6
"168","Aayansh","M",34,42
"169","Aayat","F",21,16
"170","Aayden","M",135,179
"171","Aayla","F",36,27
"172","Aaylah","F",11,10
"173","Aayra","F",9,7
"174","Aayush","M",63,88
"175","Aayushi","F",9,11
"176","Aaziyah","F",5,5
"177","Abaan","M",8,6
"178","Abagail","F",72,103
"179","Abaigeal","F",9,5
"180","Abanoub","M",8,13
"181","Abas","M",6,5
"182","Abass","M",6,6
"183","Abba","M",5,5
"184","Abbagail","F",9,19
"185","Abbas","M",75,74
"186","Abbey","F",139,163
"187","Abbi","F",27,24
"188","Abbie","F",176,212
"189","Abbigail","F",223,258
"190","Abbigale","F",39,46
"191","Abbigayle","F",24,17
"192","Abbott","M",58,45
"193","Abby","F",724,721
"194","Abbygail","F",110,149
"195","Abbygale","F",21,19
"196","Abbygayle","F",16,5
"197","Abcde","F",12,16
"198","Abdalla","M",13,12
"199","Abdallah","M",60,56
"200","Abdalrahman","M",11,11
"201","Abdel","M",19,17
"202","Abdelaziz","M",5,7
"203","Abdelrahman","M",21,26
"204","Abdi","M",8,10
"205","Abdias","M",48,33
"206","Abdiaziz","M",15,16
"207","Abdiel","M",328,254
"208","Abdifatah","M",20,16
"209","Abdihakim","M",6,6
"210","Abdikadir","M",5,13
"211","Abdimalik","M",22,20
"212","Abdinasir","M",7,14
"213","Abdirahim","M",5,8
"214","Abdirahman","M",108,117
"215","Abdirashid","M",5,5
"216","Abdirizak","M",6,9
"217","Abdishakur","M",6,8
"218","Abdou","M",13,7
"219","Abdoul","M",23,27
"220","Abdoulaye","M",29,36
"221","Abdul","M",127,122
"222","Abdulahad","M",12,9
"223","Abdulahi","M",25,25
"224","Abdulaziz","M",87,99
"225","Abdulhadi","M",8,18
"226","Abdulhamid","M",9,5
"227","Abdulkadir","M",7,8
"228","Abdulkareem","M",10,7
"229","Abdulkarim","M",9,8
"230","Abdulkhaliq","M",8,5
"231","Abdulla","M",15,5
"232","Abdullah","M",406,394
"233","Abdullahi","M",98,83
"234","Abdulloh","M",6,6
"235","Abdulmalik","M",32,36
"236","Abdulqadir","M",6,6
"237","Abdulraheem","M",9,9
"238","Abdulrahman","M",154,138
"239","Abdulsamad","M",6,9
"240","Abdulwahab","M",6,15
"241","Abdur","M",10,6
"242","Abdurahman","M",19,18
"243","Abdurrahman","M",40,38
"244","Abe","M",60,80
"245","Abeeha","F",15,9
"246","Abeer","F",8,10
"247","Abeer","M",11,9
"248","Abeera","F",6,11
"249","Abel","F",6,10
"250","Abel","M",3015,3228
"251","Abela","F",5,6
"252","Abelardo","M",74,58
"253","Abelina","F",8,6
"254","Abelino","M",6,6
"255","Abella","F",78,73
"256","Abena","F",11,13
"257","Abenezer","M",13,20
"258","Aberdeen","F",12,18
"259","Abhay","M",49,38
"260","Abhi","M",13,14
"261","Abhigna","F",7,6
"262","Abhijot","M",6,6
"263","Abhimanyu","M",18,15
"264","Abhinav","M",67,57
"265","Abhiraj","M",8,6
"266","Abhiram","M",104,64
"267","Abhyuday","M",5,5
"268","Abi","F",25,15
"269","Abia","F",14,5
"270","Abiageal","F",6,7
"271","Abiah","F",9,6
"272","Abid","M",10,8
"273","Abie","M",7,6
"274","Abiel","M",62,71
"275","Abigael","F",56,42
"276","Abigaelle","F",17,17
"277","Abigail","F",11699,12371
"278","Abigail","M",10,10
"279","Abigaile","F",17,19
"280","Abigal","F",12,15
"281","Abigale","F",106,114
"282","Abigayl","F",5,8
"283","Abigayle","F",68,108
"284","Abiha","F",13,11
"285","Abijah","M",17,10
"286","Abilene","F",92,69
"287","Abimael","M",41,46
"288","Abinav","M",5,6
"289","Abiola","F",5,6
"290","Abir","M",37,25
"291","Abisai","F",25,13
"292","Abisai","M",30,30
"293","Abisha","F",12,5
"294","Abishai","M",18,10
"295","Abisola","F",7,7
"296","Able","M",38,40
"297","Abner","M",198,199
"298","Aboubacar","M",17,25
"299","Abra","F",12,8
"300","Abrah","F",5,8
"301","Abraham","M",2559,2438
"302","Abrahan","M",20,15
"303","Abrahim","M",25,18
"304","Abrahm","M",26,40
"305","Abram","M",856,835
"306","Abran","M",20,27
"307","Abrar","F",15,16
"308","Abrar","M",15,17
"309","Abree","F",32,44
"310","Abri","F",15,15
"311","Abria","F",19,15
"312","Abrian","M",20,16
"313","Abriana","F",47,72
"314","Abrianna","F",103,128
"315","Abrie","F",16,22
"316","Abriel","F",13,16
"317","Abriel","M",35,39
"318","Abriela","F",5,5
"319","Abriella","F",127,139
"320","Abrielle","F",260,260
"321","Abril","F",316,274
"322","Abrina","F",6,6
"323","Abrish","F",14,29
"324","Abryana","F",7,9
"325","Abryanna","F",15,16
"326","Absalat","F",9,12
"327","Abshir","M",7,6
"328","Abu","M",5,7
"329","Abubakar","M",53,43
"330","Abubakr","M",33,33
"331","Aby","F",6,16
"332","Abyan","M",8,11
"333","Abygail","F",116,111
"334","Abygale","F",10,15
"335","Acacia","F",85,103
"336","Acadia","F",33,45
"337","Ace","F",6,7
"338","Ace","M",1034,737
"339","Acelin","M",7,5
"340","Acelyn","F",24,29
"341","Acelynn","F",56,74
"342","Acen","M",39,30
"343","Aceson","M",51,20
"344","Acesyn","M",7,5
"345","Aceton","M",5,13
"346","Acey","F",6,5
"347","Aceyn","M",19,8
"348","Acheron","M",10,6
"349","Achilles","M",226,212
"350","Achillies","M",7,14
"351","Achol","F",5,10
"352","Achyut","M",9,5
"353","Achyuth","M",5,5
"354","Acie","M",7,7
"355","Ackley","M",7,7
"356","Acsa","F",7,6
"357","Acxel","M",8,6
"358","Ada","F",959,916
"359","Adabella","F",12,13
"360","Adabelle","F",21,24
"361","Adael","M",32,24
"362","Adaeze","F",16,24
"363","Adah","F",81,90
"364","Adahlia","F",16,15
"365","Adaia","F",23,17
"366","Adaiah","F",24,31
"367","Adain","M",5,9
"368","Adair","F",20,20
"369","Adair","M",33,56
"370","Adaira","F",15,10
"371","Adalae","F",17,34
"372","Adalai","F",10,8
"373","Adalaide","F",29,20
"374","Adalay","F",22,14
"375","Adalaya","F",10,17
"376","Adalberto","M",22,29
"377","Adalea","F",9,6
"378","Adaleah","F",15,14
"379","Adalee","F",217,225
"380","Adaleen","F",14,13
"381","Adaleena","F",12,14
"382","Adalei","F",13,16
"383","Adaleia","F",5,6
"384","Adaleigh","F",128,126
"385","Adalen","F",6,7
"386","Adalena","F",38,42
"387","Adalene","F",34,46
"388","Adaley","F",27,30
"389","Adaleyza","F",8,7
"390","Adali","F",38,28
"391","Adalia","F",85,111
"392","Adaliah","F",12,18
"393","Adalida","F",24,12
"394","Adalie","F",143,150
"395","Adalin","F",40,33
"396","Adalina","F",153,131
"397","Adalind","F",123,89
"398","Adaline","F",1873,902
"399","Adalinn","F",8,9
"400","Adalis","F",6,12
"401","Adalise","F",9,9
"402","Adaliyah","F",7,8
"403","Adaliz","F",13,22
"404","Adaly","F",58,61
"405","Adalyn","F",2176,2452
"406","Adalyna","F",6,17
"407","Adalynd","F",14,12
"408","Adalyne","F",94,67
"409","Adalynn","F",2585,2614
"410","Adalynne","F",107,107
"411","Adam","F",6,6
"412","Adam","M",5176,5380
"413","Adama","F",19,24
"414","Adama","M",15,15
"415","Adamae","F",9,10
"416","Adamari","F",43,63
"417","Adamarie","F",6,10
"418","Adamaris","F",39,64
"419","Adamariz","F",12,8
"420","Adamary","F",12,8
"421","Adams","M",18,11
"422","Adan","F",7,12
"423","Adan","M",815,784
"424","Adanna","F",31,17
"425","Adannaya","F",5,10
"426","Adanya","F",8,16
"427","Adaora","F",12,12
"428","Adar","M",5,5
"429","Adara","F",56,74
"430","Adarian","M",13,9
"431","Adarius","M",25,20
"432","Adarsh","M",23,20
"433","Adasyn","F",9,15
"434","Adaya","F",35,31
"435","Adayah","F",10,15
"436","Addalee","F",22,18
"437","Addaleigh","F",19,7
"438","Addalie","F",13,9
"439","Addaline","F",41,18
"440","Addalyn","F",256,255
"441","Addalyne","F",15,12
"442","Addalynn","F",216,218
"443","Addalynne","F",14,22
"444","Addasyn","F",6,6
"445","Addeline","F",51,36
"446","Addelyn","F",193,214
"447","Addelynn","F",84,81
"448","Addi","F",23,13
"449","Addicus","M",12,8
"450","Addie","F",181,226
"451","Addiel","M",6,12
"452","Addielynn","F",5,7
"453","Addilee","F",17,14
"454","Addileigh","F",5,5
"455","Addiline","F",7,6
"456","Addilyn","F",1033,972
"457","Addilyne","F",12,8
"458","Addilynn","F",486,386
"459","Addilynne","F",10,15
"460","Addis","M",13,7
"461","Addisen","F",43,27
"462","Addison","F",6295,6706
"463","Addison","M",153,153
"464","Addisyn","F",498,515
"465","Addisynn","F",17,11
"466","Addley","F",24,19
"467","Addlyn","F",8,7
"468","Addlynn","F",7,8
"469","Addy","F",53,41
"470","Addylin","F",21,17
"471","Addyline","F",11,6
"472","Addylyn","F",9,6
"473","Addylynn","F",11,11
"474","Addysen","F",40,46
"475","Addysin","F",9,12
"476","Addyson","F",677,708
"477","Addysyn","F",8,8
"478","Ade","M",15,11
"479","Adea","F",10,7
"480","Adebayo","M",8,6
"481","Adedamola","M",8,13
"482","Adedayo","M",8,11
"483","Adeeb","M",12,14
"484","Adeel","M",12,5
"485","Adeena","F",21,13
"486","Adel","F",16,24
"487","Adel","M",39,41
"488","Adela","F",202,226
"489","Adelae","F",13,10
"490","Adelai","F",16,15
"491","Adelaida","F",48,46
"492","Adelaide","F",1227,1157
"493","Adelaine","F",28,22
"494","Adelay","F",5,5
"495","Adelaya","F",5,5
"496","Adelayda","F",5,6
"497","Adelayde","F",7,6
"498","Adele","F",443,442
"499","Adelei","F",5,8
"500","Adeleigh","F",9,11
"501","Adeleine","F",29,30
"502","Adelena","F",33,22
"503","Adelene","F",28,32
"504","Adelheid","F",16,10
"505","Adelia","F",91,83
"506","Adelie","F",35,40
"507","Adelin","F",40,43
"508","Adelina","F",624,569
"509","Adelind","F",12,10
"510","Adeline","F",4103,2403
"511","Adelinne","F",9,6
"512","Adelis","F",6,5
"513","Adelise","F",20,35
"514","Adelita","F",17,16
"515","Adeliz","F",6,8
"516","Adell","F",13,9
"517","Adella","F",69,70
"518","Adelle","F",84,85
"519","Adellyn","F",6,10
"520","Adely","F",17,9
"521","Adelyn","F",1659,1677
"522","Adelyna","F",14,14
"523","Adelyne","F",84,56
"524","Adelynn","F",1123,1138
"525","Adelynne","F",59,76
"526","Adem","M",48,49
"527","Ademide","M",12,7
"528","Ademola","M",8,7
"529","Aden","F",21,15
"530","Aden","M",692,867
"531","Adena","F",11,11
"532","Adeola","F",12,15
"533","Adeoluwa","M",5,7
"534","Adesewa","F",5,7
"535","Adessa","F",21,16
"536","Adesuwa","F",10,6
"537","Adewale","M",8,5
"538","Adham","M",33,23
"539","Adhara","F",10,10
"540","Adhav","M",5,6
"541","Adhira","F",34,13
"542","Adhiraj","M",7,5
"543","Adhithi","F",5,8
"544","Adhrit","M",32,32
"545","Adhrith","M",5,7
"546","Adhvaith","M",5,5
"547","Adhvik","M",73,36
"548","Adhvika","F",11,11
"549","Adhya","F",32,36
"550","Adhyan","M",5,6
"551","Adi","F",38,24
"552","Adi","M",21,28
"553","Adia","F",50,68
"554","Adian","M",27,36
"555","Adiana","F",7,8
"556","Adianna","F",6,13
"557","Adib","M",8,5
"558","Adiba","F",13,10
"559","Adiel","F",6,5
"560","Adiel","M",166,130
"561","Adiela","F",6,10
"562","Adiella","F",10,6
"563","Adien","M",18,26
"564","Adil","M",34,46
"565","Adila","F",7,6
"566","Adilee","F",19,26
"567","Adileigh","F",10,7
"568","Adilena","F",6,5
"569","Adilene","F",215,221
"570","Adilenne","F",10,12
"571","Adileny","F",15,6
"572","Adiley","F",6,6
"573","Adilyn","F",224,217
"574","Adilynn","F",271,347
"575","Adilynne","F",18,8
"576","Adin","M",80,79
"577","Adina","F",136,135
"578","Adir","M",13,18
"579","Adira","F",69,62
"580","Adis","M",6,6
"581","Adison","F",65,62
"582","Adisyn","F",28,42
"583","Adit","M",6,12
"584","Adith","M",13,8
"585","Adithi","F",16,20
"586","Adithya","M",18,20
"587","Aditi","F",129,104
"588","Aditri","F",16,19
"589","Aditya","M",157,159
"590","Adiya","F",14,19
"591","Adiyah","F",7,6
"592","Adlai","M",9,18
"593","Adlee","F",81,74
"594","Adleigh","F",88,108
"595","Adlen","F",6,6
"596","Adler","F",27,22
"597","Adler","M",169,154
"598","Adley","F",482,337
"599","Adley","M",17,10
"600","Adlie","F",14,7
"601","Adlin","F",6,7
"602","Adlyn","F",13,13
"603","Adlynn","F",11,8
"604","Adna","F",12,29
"605","Adnaan","M",6,6
"606","Adnan","M",66,86
"607","Adolfo","M",132,155
"608","Adolphus","M",7,6
"609","Adom","M",8,11
"610","Adon","M",33,49
"611","Adonai","F",12,5
"612","Adonai","M",59,64
"613","Adonay","M",20,20
"614","Adonia","F",6,6
"615","Adoniah","M",5,6
"616","Adonias","M",13,26
"617","Adonijah","M",12,22
"618","Adonis","M",800,357
"619","Adonnis","M",23,13
"620","Adora","F",53,37
"621","Adorable","F",5,5
"622","Adore","F",42,36
"623","Adorian","M",9,6
"624","Adrain","M",25,15
"625","Adream","F",7,6
"626","Adrean","M",6,19
"627","Adreana","F",9,12
"628","Adreanna","F",14,23
"629","Adri","F",13,13
"630","Adria","F",60,73
"631","Adrian","F",107,83
"632","Adrian","M",6303,6513
"633","Adriana","F",1489,1723
"634","Adriane","F",11,12
"635","Adriann","F",10,6
"636","Adrianna","F",947,1098
"637","Adriannah","F",6,9
"638","Adrianne","F",60,68
"639","Adriano","M",75,59
"640","Adric","M",15,18
"641","Adrick","M",8,12
"642","Adrie","F",13,13
"643","Adriel","F",37,47
"644","Adriel","M",1593,1286
"645","Adriell","M",6,8
"646","Adriella","F",13,10
"647","Adrielle","F",65,53
"648","Adrien","F",10,12
"649","Adrien","M",245,261
"650","Adriene","F",8,7
"651","Adrienna","F",10,9
"652","Adrienne","F",340,327
"653","Adrijana","F",5,7
"654","Adrik","M",22,16
"655","Adrika","F",12,6
"656","Adrina","F",33,49
"657","Adrion","M",18,17
"658","Adrionna","F",20,9
"659","Adrita","F",9,8
"660","Adriyanna","F",7,6
"661","Adryan","M",51,63
"662","Adryana","F",15,13
"663","Adryanna","F",13,14
"664","Adryel","M",9,13
"665","Adut","F",5,6
"666","Advait","M",35,35
"667","Advaita","F",7,9
"668","Advaith","M",56,43
"669","Advay","M",30,32
"670","Advik","M",124,93
"671","Advika","F",73,40
"672","Advit","M",16,11
"673","Advita","F",7,8
"674","Advith","M",23,21
"675","Advitha","F",8,5
"676","Adya","F",17,24
"677","Adyan","M",44,19
"678","Adyen","M",9,7
"679","Adylee","F",10,11
"680","Adylen","F",6,5
"681","Adylene","F",15,13
"682","Adylin","F",14,15
"683","Adyline","F",20,7
"684","Adylyn","F",5,12
"685","Adylynn","F",7,12
"686","Adyn","M",39,59
"687","Adysen","F",19,31
"688","Adyson","F",106,129
"689","Aedan","M",162,167
"690","Aeden","M",34,44
"691","Aedin","M",5,6
"692","Aedyn","F",6,8
"693","Aedyn","M",26,20
"694","Aela","F",34,35
"695","Aeliana","F",19,18
"696","Aella","F",22,20
"697","Aelyn","F",5,5
"698","Aemilia","F",13,14
"699","Aemon","M",13,10
"700","Aeneas","M",7,11
"701","Aengus","M",18,9
"702","Aeon","M",16,12
"703","Aerabella","F",19,24
"704","Aerial","F",18,36
"705","Aeriana","F",9,17
"706","Aerianna","F",7,12
"707","Aeric","M",10,7
"708","Aerie","F",8,10
"709","Aeriel","F",8,11
"710","Aeriella","F",5,10
"711","Aerilyn","F",32,25
"712","Aerin","F",27,18
"713","Aerion","M",8,10
"714","Aeris","F",96,96
"715","Aerith","F",28,20
"716","Aero","F",5,10
"717","Aero","M",30,34
"718","Aeron","M",19,20
"719","Aeryn","F",49,43
"720","Aeson","M",40,29
"721","Aesop","M",6,6
"722","Aeva","F",28,30
"723","Aevah","F",9,7
"724","Affan","M",29,39
"725","Afia","F",11,23
"726","Afifa","F",11,7
"727","Afiya","F",5,7
"728","Afnan","F",23,27
"729","Afnan","M",15,8
"730","Afomia","F",12,14
"731","Afrah","F",11,13
"732","Afreen","F",8,5
"733","Africa","F",10,9
"734","Afsa","F",7,9
"735","Afsheen","F",10,8
"736","Afton","F",83,96
"737","Afton","M",16,7
"738","Aftyn","F",12,12
"739","Agam","F",6,8
"740","Agam","M",43,18
"741","Agamjot","M",7,10
"742","Agamveer","M",6,6
"743","Agasthya","M",10,8
"744","Agastya","M",63,76
"745","Agata","F",16,9
"746","Agatha","F",76,87
"747","Aggie","F",6,6
"748","Agnes","F",229,190
"749","Agostino","M",6,5
"750","Agustin","M",210,224
"751","Agustina","F",14,18
"752","Agustine","M",7,6
"753","Ahaan","M",56,62
"754","Ahaana","F",11,15
"755","Ahad","M",20,28
"756","Ahadu","M",8,7
"757","Ahan","M",13,15
"758","Ahana","F",64,63
"759","Aharon","M",75,85
"760","Ahava","F",17,18
"761","Ahavah","F",7,8
"762","Ahdia","F",7,7
"763","Ahil","M",16,9
"764","Ahilyn","F",6,7
"765","Ahkeem","M",14,17
"766","Ahking","M",6,7
"767","Ahlam","F",38,42
"768","Ahlana","F",11,9
"769","Ahlani","F",28,16
"770","Ahlaya","F",14,14
"771","Ahlayah","F",7,14
"772","Ahleah","F",8,7
"773","Ahlina","F",7,9
"774","Ahliyah","F",14,9
"775","Ahmaad","M",10,9
"776","Ahmad","M",465,496
"777","Ahmadou","M",6,11
"778","Ahmani","F",16,16
"779","Ahmar","M",14,16
"780","Ahmari","F",17,15
"781","Ahmari","M",68,69
"782","Ahmaya","F",10,6
"783","Ahmed","M",579,588
"784","Ahmeer","M",8,9
"785","Ahmeir","M",10,7
"786","Ahmere","M",15,12
"787","Ahmet","M",27,38
"788","Ahmia","F",14,13
"789","Ahmier","M",8,13
"790","Ahmina","F",11,9
"791","Ahmir","M",218,189
"792","Ahmira","F",9,10
"793","Ahmiracle","F",11,7
"794","Ahmirah","F",5,10
"795","Ahmire","M",6,5
"796","Ahmiya","F",13,13
"797","Ahmiyah","F",16,21
"798","Ahmod","M",7,7
"799","Ahmoni","F",5,9
"800","Ahmya","F",15,19
"801","Ahmyah","F",8,7
"802","Ahna","F",47,52
"803","Ahnaf","M",24,18
"804","Ahnalia","F",5,7
"805","Ahnesti","F",7,5
"806","Ahnesty","F",6,8
"807","Ahni","F",8,7
"808","Ahnika","F",14,5
"809","Ahniya","F",7,9
"810","Ahniyah","F",9,14
"811","Ahnna","F",11,11
"812","Ahnya","F",5,7
"813","Ahnyla","F",8,8
"814","Ahonesty","F",11,7
"815","Ahren","M",23,19
"816","Ahri","F",44,44
"817","Ahria","F",20,18
"818","Ahrianna","F",6,15
"819","Ahriya","F",8,12
"820","Ahriyah","F",12,12
"821","Ahron","M",45,45
"822","Ahsan","M",18,26
"823","Ahsha","F",21,15
"824","Ahsoka","F",5,5
"825","Ahtziri","F",34,31
"826","Ahtziry","F",9,5
"827","Ahuva","F",77,62
"828","Ahyan","M",35,19
"829","Ahzab","M",6,5
"830","Ai","F",6,7
"831","Aiana","F",5,9
"832","Aibhlinn","F",18,18
"833","Aicha","F",40,42
"834","Aida","F",194,184
"835","Aidah","F",12,13
"836","Aidaly","F",5,7
"837","Aidan","F",20,24
"838","Aidan","M",2102,2252
"839","Aidana","F",17,16
"840","Aidden","M",18,21
"841","Aide","F",23,19
"842","Aidee","F",7,9
"843","Aidel","F",15,9
"844","Aidelyn","F",11,5
"845","Aiden","F",42,60
"846","Aiden","M",12158,13429
"847","Aidenn","M",16,13
"848","Aidin","M",14,14
"849","Aidon","M",12,16
"850","Aidrian","M",5,8
"851","Aidric","M",22,30
"852","Aidy","F",9,7
"853","Aidyn","F",20,29
"854","Aidyn","M",192,176
"855","Aidynn","M",5,8
"856","Aiesha","F",6,9
"857","Aija","F",7,9
"858","Aika","F",7,9
"859","Aiken","M",19,15
"860","Aiko","F",25,24
"861","Aila","F",153,140
"862","Ailah","F",12,16
"863","Ailana","F",11,15
"864","Ailani","F",300,206
"865","Ailanie","F",10,7
"866","Ailany","F",50,39
"867","Aileana","F",6,12
"868","Ailed","F",18,8
"869","Ailee","F",49,51
"870","Aileen","F",499,609
"871","Ailen","F",35,15
"872","Ailene","F",19,19
"873","Ailey","F",60,52
"874","Aili","F",38,34
"875","Ailin","F",33,59
"876","Ailis","F",10,12
"877","Ailish","F",38,11
"878","Ailsa","F",12,9
"879","Aily","F",13,10
"880","Ailyn","F",183,236
"881","Ailynn","F",33,43
"882","Aima","F",22,6
"883","Aiman","M",8,13
"884","Aimar","M",10,13
"885","Aime","F",18,22
"886","Aimee","F",259,299
"887","Aimen","F",5,5
"888","Aimi","F",10,7
"889","Aina","F",21,9
"890","Ainara","F",67,77
"891","Aine","F",32,44
"892","Ainhoa","F",45,36
"893","Ainslee","F",69,78
"894","Ainsleigh","F",34,39
"895","Ainsley","F",963,963
"896","Ainsley","M",14,17
"897","Ainslie","F",17,23
"898","Ainzley","F",9,7
"899","Aira","F",42,24
"900","Airabella","F",46,38
"901","Airah","F",12,5
"902","Airalynn","F",5,11
"903","Airam","F",43,39
"904","Airam","M",18,15
"905","Aireanna","F",6,7
"906","Aireon","M",6,6
"907","Airi","F",19,12
"908","Airiana","F",24,13
"909","Airianna","F",17,16
"910","Airis","F",9,8
"911","Airlie","F",9,16
"912","Airyana","F",14,9
"913","Airyanna","F",15,10
"914","Airyn","F",6,8
"915","Aisha","F",617,649
"916","Aishah","F",32,31
"917","Aishani","F",35,27
"918","Aishini","F",5,5
"919","Aishleen","F",7,6
"920","Aishwarya","F",29,29
"921","Aislee","F",12,14
"922","Aisleigh","F",7,7
"923","Aisley","F",84,76
"924","Aislin","F",44,55
"925","Aisling","F",47,48
"926","Aislinn","F",276,281
"927","Aislyn","F",81,111
"928","Aislynn","F",116,159
"929","Aison","M",9,9
"930","Aisosa","F",7,5
"931","Aissa","F",9,7
"932","Aissata","F",23,21
"933","Aissatou","F",28,28
"934","Aitana","F",564,299
"935","Aitanna","F",26,14
"936","Aithan","M",11,12
"937","Aithana","F",16,14
"938","Aithen","M",8,9
"939","Aitiana","F",16,5
"940","Aiva","F",46,53
"941","Aivah","F",38,31
"942","Aiven","M",31,24
"943","Aivy","F",13,15
"944","Aixa","F",19,22
"945","Aiya","F",31,40
"946","Aiyah","F",8,13
"947","Aiyana","F",355,333
"948","Aiyanah","F",14,19
"949","Aiyanna","F",237,192
"950","Aiyannah","F",10,5
"951","Aiyden","M",75,94
"952","Aiyla","F",42,20
"953","Aiyonna","F",9,7
"954","Aiza","F",104,116
"955","Aizah","F",79,63
"956","Aizen","M",94,79
"957","Aizik","M",13,7
"958","Aizlee","F",5,10
"959","Aizley","F",8,12
"960","Aizlyn","F",10,10
"961","Aizlynn","F",13,21
"962","Aj","F",7,7
"963","Aj","M",80,71
"964","Aja","F",62,84
