ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
921,30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,Sales Representative,2,Single,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2
922,35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
923,36,Yes,Travel_Rarely,660,Research & Development,15,3,Other,1,1052,1,Male,81,3,2,Laboratory Technician,3,Divorced,7858,7,Y,No,14,3,2,80,1,9,3,2,1,0,0,0
924,42,No,Non-Travel,179,Human Resources,2,5,Medical,1,1231,4,Male,79,4,2,Human Resources,1,Married,12858,7,Y,No,16,3,1,80,1,10,3,4,4,3,0,3
925,54,No,Travel_Rarely,584,Research & Development,22,5,Medical,1,1665,2,Female,91,3,4,Manager,3,Married,18685,3,Y,No,25,4,3,80,1,36,6,3,10,8,4,7
926,40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,Female,46,4,1,Laboratory Technician,3,Married,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
927,32,No,Travel_Rarely,604,Sales,8,3,Medical,1,1304,3,Male,56,4,2,Sales Executive,4,Married,11693,1,Y,No,15,3,3,80,2,10,4,4,10,7,0,8
928,38,No,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,Female,99,1,3,Research Director,3,Married,3376,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11
929,22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
930,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
931,34,No,Non-Travel,1375,Sales,10,3,Life Sciences,1,1774,4,Male,87,3,2,Sales Executive,3,Divorced,12313,1,Y,Yes,14,3,3,80,1,15,3,3,15,14,0,7
932,32,No,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,727,3,Female,39,3,3,Research Director,4,Single,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7
933,41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
934,58,Yes,Travel_Frequently,781,Research & Development,2,1,Life Sciences,1,918,4,Male,57,2,1,Laboratory Technician,4,Divorced,13384,9,Y,Yes,14,3,4,80,1,3,3,2,1,0,0,0
935,20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
936,24,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0
937,46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,288,4,Male,97,3,3,Healthcare Representative,1,Divorced,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3
938,51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,1,Male,53,1,3,Manufacturing Director,4,Single,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
939,39,No,Travel_Rarely,116,Research & Development,24,1,Life Sciences,1,2014,1,Male,52,3,2,Research Scientist,4,Single,5340,7,Y,No,13,3,1,80,0,18,2,3,7,7,1,7
940,28,No,Travel_Rarely,1172,Sales,3,3,Medical,1,1875,2,Female,78,3,1,Sales Representative,2,Married,3692,1,Y,No,19,3,4,80,1,1,3,3,1,0,0,0
941,40,Yes,Travel_Rarely,676,Research & Development,9,4,Life Sciences,1,1534,4,Male,86,3,1,Laboratory Technician,1,Single,21831,3,Y,No,14,3,2,80,0,15,3,1,5,4,1,0
942,39,No,Travel_Rarely,1462,Sales,6,3,Medical,1,1588,4,Male,38,4,3,Sales Executive,3,Married,4658,2,Y,No,11,3,1,80,1,11,3,3,7,6,7,6
943,59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
944,27,No,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,1027,1,Female,47,3,2,Manufacturing Director,4,Married,4658,0,Y,No,18,3,2,80,1,4,2,3,3,2,2,2
945,18,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
946,29,No,Travel_Frequently,995,Research & Development,2,1,Life Sciences,1,1590,1,Male,87,3,2,Healthcare Representative,4,Divorced,24483,1,Y,No,19,3,4,80,1,6,0,4,6,4,1,3
947,21,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0
948,26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
949,26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,3,Divorced,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0
950,47,Yes,Travel_Frequently,719,Sales,27,2,Life Sciences,1,785,2,Female,77,4,2,Sales Executive,3,Single,10339,4,Y,Yes,12,3,4,80,0,8,2,3,5,4,1,3
951,42,No,Non-Travel,355,Research & Development,10,4,Technical Degree,1,1854,3,Male,38,3,1,Research Scientist,3,Married,6161,3,Y,No,22,4,2,80,2,10,1,2,6,3,3,3
952,40,No,Travel_Rarely,300,Sales,26,3,Marketing,1,1066,3,Male,74,3,2,Sales Executive,1,Married,22217,1,Y,No,14,3,2,80,1,8,3,2,7,7,7,5
953,37,No,Travel_Rarely,124,Research & Development,3,3,Other,1,1062,4,Female,35,3,2,Healthcare Representative,2,Single,13848,3,Y,No,15,3,1,80,0,8,3,2,4,3,0,1
954,27,No,Travel_Frequently,1297,Research & Development,5,2,Life Sciences,1,1850,4,Female,53,3,1,Laboratory Technician,4,Single,19826,0,Y,Yes,14,3,3,80,0,6,3,2,5,4,0,2
955,39,No,Non-Travel,439,Research & Development,9,3,Life Sciences,1,1132,3,Male,70,3,2,Laboratory Technician,2,Single,8770,9,Y,No,15,3,3,80,0,9,2,2,5,4,0,3
956,45,No,Travel_Rarely,176,Human Resources,4,3,Life Sciences,1,1744,3,Female,56,1,3,Human Resources,3,Married,6595,4,Y,No,21,4,3,80,2,9,2,4,5,0,0,3
957,56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
958,32,No,Non-Travel,1109,Research & Development,29,4,Medical,1,1046,4,Female,69,3,1,Laboratory Technician,3,Single,11135,9,Y,No,12,3,2,80,0,10,2,3,8,7,7,7
959,41,No,Travel_Rarely,1206,Sales,23,2,Life Sciences,1,1678,4,Male,80,3,3,Sales Executive,3,Single,11591,3,Y,Yes,16,3,4,80,0,21,2,3,2,0,0,2
960,58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,4,Male,31,3,5,Research Director,2,Single,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8
961,29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,346,3,Male,60,3,1,Research Scientist,4,Single,22673,1,Y,No,19,3,1,80,0,6,1,3,6,5,1,5
962,40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335,1,Male,62,3,2,Research Scientist,4,Divorced,24447,1,Y,No,17,3,1,80,2,9,3,3,9,8,4,7
963,38,No,Travel_Frequently,471,Research & Development,12,3,Life Sciences,1,837,1,Male,45,2,2,Healthcare Representative,1,Divorced,4284,2,Y,No,15,3,3,80,1,13,3,2,4,3,1,2
964,39,No,Travel_Rarely,141,Human Resources,3,3,Human Resources,1,760,3,Female,44,4,2,Human Resources,2,Married,18767,9,Y,No,15,3,3,80,1,12,3,1,8,3,3,6
965,25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
966,50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
967,29,No,Travel_Rarely,468,Research & Development,28,4,Medical,1,2054,4,Female,73,2,1,Research Scientist,1,Single,8489,1,Y,No,14,3,2,80,0,5,3,1,5,4,0,4
968,36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,Sales Executive,3,Married,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
969,50,No,Travel_Frequently,1421,Research & Development,2,3,Medical,1,1215,4,Female,30,3,4,Manager,1,Married,9490,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2
970,26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2
971,27,No,Travel_Rarely,954,Sales,9,3,Marketing,1,1965,4,Male,44,3,2,Sales Executive,4,Single,5099,1,Y,No,14,3,1,80,0,7,5,3,7,7,0,7
972,31,No,Travel_Rarely,616,Research & Development,12,3,Medical,1,961,4,Female,41,3,2,Healthcare Representative,4,Married,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5
973,28,No,Travel_Frequently,791,Research & Development,1,4,Medical,1,1286,4,Male,44,3,1,Laboratory Technician,3,Single,6842,0,Y,Yes,11,3,3,80,0,5,2,2,4,2,0,2
974,20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
975,24,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2
976,29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,1,315,3,Male,86,2,1,Research Scientist,4,Single,14961,1,Y,Yes,13,3,3,80,0,4,3,2,4,3,0,1
977,48,No,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,1022,1,Male,97,2,2,Healthcare Representative,3,Single,13119,2,Y,No,13,3,4,80,0,19,0,3,2,2,2,2
978,39,Yes,Travel_Rarely,360,Research & Development,23,3,Medical,1,1310,3,Male,93,3,1,Research Scientist,1,Single,22154,0,Y,No,13,3,1,80,0,6,2,3,5,2,0,3
979,35,No,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,880,4,Female,66,2,3,Manufacturing Director,3,Married,23457,1,Y,Yes,20,4,2,80,1,17,2,3,17,14,5,15
980,49,No,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1256,1,Male,85,2,5,Manager,3,Married,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0
981,35,No,Travel_Rarely,1402,Sales,28,4,Life Sciences,1,1554,2,Female,98,2,1,Sales Representative,3,Married,26204,0,Y,No,23,4,1,80,2,6,5,3,5,3,4,2
982,46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
983,52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,316,3,Female,89,2,1,Laboratory Technician,4,Single,3300,7,Y,No,15,3,2,80,0,6,3,2,2,2,2,2
984,26,No,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,Female,30,2,1,Sales Representative,3,Single,21378,0,Y,No,18,3,4,80,0,5,2,3,4,2,0,0
985,36,No,Travel_Rarely,1120,Sales,11,4,Marketing,1,2045,2,Female,100,2,2,Sales Executive,4,Married,14369,4,Y,No,13,3,1,80,1,8,2,2,6,3,0,0
986,32,Yes,Travel_Frequently,238,Research & Development,5,2,Life Sciences,1,1939,1,Female,47,4,1,Research Scientist,3,Single,15318,3,Y,Yes,14,3,1,80,0,8,2,3,4,1,0,3
987,22,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0
988,32,No,Travel_Rarely,601,Sales,7,5,Marketing,1,1446,4,Male,97,3,2,Sales Executive,4,Married,23343,4,Y,No,12,3,3,80,1,7,3,2,4,3,0,3
989,39,No,Travel_Frequently,945,Research & Development,22,3,Medical,1,1043,4,Female,82,3,3,Manufacturing Director,1,Single,5083,1,Y,Yes,13,3,3,80,0,21,2,3,21,6,2,8
990,31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
991,39,No,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,1,909,4,Female,42,2,2,Human Resources,4,Married,7790,8,Y,No,11,3,3,80,2,13,2,3,5,4,0,4
992,24,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4
993,30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,3,Male,48,3,2,Human Resources,4,Married,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7
994,40,No,Travel_Frequently,1184,Sales,2,4,Medical,1,1212,2,Male,62,3,2,Sales Executive,2,Married,25440,5,Y,No,12,3,4,80,3,5,2,3,0,0,0,0
995,38,No,Non-Travel,152,Sales,10,3,Technical Degree,1,983,3,Female,85,3,2,Sales Executive,4,Single,19899,1,Y,Yes,13,3,2,80,0,6,1,3,5,3,1,3
996,34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
997,38,No,Travel_Frequently,1391,Research & Development,10,1,Medical,1,1006,3,Male,66,3,1,Research Scientist,3,Married,12127,0,Y,No,17,3,2,80,1,3,0,2,2,1,0,2
998,54,No,Travel_Rarely,971,Research & Development,1,3,Medical,1,1422,4,Female,54,3,4,Research Director,4,Single,5652,6,Y,No,19,3,4,80,0,29,3,2,20,7,12,7
999,35,No,Travel_Rarely,882,Sales,3,4,Life Sciences,1,984,4,Male,92,3,3,Sales Executive,4,Divorced,6812,6,Y,No,13,3,2,80,1,12,2,3,10,9,0,8
1000,32,Yes,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,911,1,Male,87,3,1,Laboratory Technician,4,Single,18016,1,Y,Yes,24,4,3,80,0,1,2,1,1,0,0,1
1001,46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
1002,47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0
1003,32,No,Travel_Rarely,977,Research & Development,2,3,Medical,1,1671,4,Male,45,3,2,Research Scientist,2,Divorced,25518,0,Y,No,13,3,3,80,2,10,4,2,9,5,1,6
1004,47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
1005,48,No,Travel_Rarely,1108,Research & Development,15,4,Other,1,1576,3,Female,65,3,1,Research Scientist,1,Married,16530,8,Y,No,12,3,4,80,1,10,3,2,8,2,7,6
1006,34,No,Travel_Rarely,735,Sales,3,1,Medical,1,1915,4,Female,75,2,2,Sales Executive,4,Married,16495,3,Y,Yes,12,3,3,80,0,9,3,2,4,2,0,1
1007,20,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2
1008,38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,393,4,Male,82,3,2,Healthcare Representative,4,Divorced,18899,9,Y,No,14,3,2,80,1,10,2,3,2,2,1,2
1009,53,No,Travel_Rarely,1223,Research & Development,7,2,Medical,1,1201,4,Female,50,3,5,Manager,3,Divorced,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7
1010,53,No,Travel_Rarely,1436,Sales,6,2,Marketing,1,205,2,Male,34,3,2,Sales Representative,3,Married,16047,2,Y,Yes,20,4,4,80,1,13,3,1,7,7,4,5
