"","x"
"198",18751.2312471563
"199",6015.28500480482
"200",2399.56793746245
"201",2028.70110656289
"202",6226.85927543216
"203",1887.14346807311
"204",6081.65156929061
"205",6343.12414859777
"206",14563.9373784963
"207",18322.8223612892
"208",6140.80390121894
"209",6192.7420005898
"210",6375.54524373334
"211",2295.69173872073
"212",2186.38338987439
"213",1906.83227780053
"214",6291.35785471904
"215",10086.1421948071
"216",10390.9001694591
"217",6011.72083989912
"218",2220.41476197068
"219",2164.91249769412
"220",5961.5648229811
"221",6022.49923736228
"222",6364.85274901623
"223",10084.3601123543
"224",6171.18520566347
"225",5929.31553333767
"226",6151.49639593604
"227",2390.74342794426
"228",2134.44529050353
"229",2252.74995436019
"230",6237.55177014926
"231",18127.5445409757
"232",6185.52776803234
"233",6268.01897733985
"234",10629.2056768792
"235",2288.56340890933
"236",2190.03345752616
"237",2200.81185498932
"238",6235.68378495035
"239",5990.24994771884
"240",6076.219419186
"241",6334.38554182564
"242",10439.1022984321
"243",10048.5466578051
"244",6475.85727756936
"245",10561.1429326866
"246",2157.78416788272
"247",6223.20920778039
"248",6078.08740438491
"249",10566.4032772991
"250",2284.99924400363
"251",10337.0081821432
"252",14280.6502960246
"253",6140.80390121894
"254",14375.7019852481
"255",2098.54593320832
"256",1827.99113614479
"257",2066.38254631095
"258",6393.36606826184
"259",14339.888530699
"260",1976.76300719203
"261",9858.52918210411
"262",14250.2689915801
"263",6318.17499425786
"264",2234.75732433955
"265",2238.40739199132
"266",2084.28927358552
"267",2419.428552682
"268",6287.70778706727
"269",10286.9380679713
"270",14142.6568224405
"271",6126.46133885007
"272",6303.83243188899
"273",10577.2675775083
"274",5920.31921832735
"275",6407.79453337678
"276",6266.15099214094
"277",6045.75221199541
"278",2093.19968584977
"279",2060.95039620633
"280",6153.36438113496
"281",2234.75732433955
"282",5990.24994771884
"283",6569.04098159398
"284",1987.45550190913
"285",6588.81569406746
"286",14271.6539810143
"287",2089.63552094407
"288",6164.05687585206
"289",2057.38623130063
"290",6078.00150163885
"291",2388.87544274535
"292",9971.40169585615
"293",2290.43139410824
"294",10055.6749876165
"295",2156.00208542987
"296",2080.63920593375
"297",10204.4468586638
"298",5995.5961950774
"299",2100.41391840724
"300",2333.37317846879
